(0,0): [128 128] (em=121, csc=[143 118])
(0,1): [128 128] (em=138, csc=[131 118])
(0,2): [128 128] (em=74, csc=[137 116])
(0,3): [128 128] (em=85, csc=[129 122])
(0,4): [128 128] (em=71, csc=[137 116])
(0,5): [128 128] (em=85, csc=[129 122])
(0,6): [128 128] (em=71, csc=[137 116])
(0,7): [128 128] (em=85, csc=[129 122])
(0,8): [128 128] (em=71, csc=[137 116])
(0,9): [128 128] (em=85, csc=[129 122])
(0,10): [128 128] (em=71, csc=[137 116])
(0,11): [128 128] (em=85, csc=[129 122])
(0,12): [128 128] (em=71, csc=[137 116])
(0,13): [128 128] (em=85, csc=[129 122])
(0,14): [128 128] (em=71, csc=[137 116])
(0,15): [128 128] (em=85, csc=[129 122])
(0,16): [128 128] (em=71, csc=[137 116])
(0,17): [128 128] (em=85, csc=[129 122])
(0,18): [128 128] (em=71, csc=[137 116])
(0,19): [128 128] (em=85, csc=[129 122])
(0,20): [128 128] (em=71, csc=[137 116])
(0,21): [128 128] (em=85, csc=[129 122])
(0,22): [128 128] (em=71, csc=[137 116])
(0,23): [128 128] (em=85, csc=[129 122])
(0,24): [128 128] (em=71, csc=[137 116])
(0,25): [128 128] (em=85, csc=[129 122])
(0,26): [128 128] (em=71, csc=[137 116])
(0,27): [128 128] (em=85, csc=[129 122])
(0,28): [128 128] (em=71, csc=[137 116])
(0,29): [128 128] (em=85, csc=[129 122])
(0,30): [128 128] (em=71, csc=[137 116])
(0,31): [128 128] (em=85, csc=[129 122])
(0,32): [128 128] (em=71, csc=[137 116])
(0,33): [128 128] (em=85, csc=[129 122])
(0,34): [128 128] (em=71, csc=[137 116])
(0,35): [128 128] (em=85, csc=[129 122])
(0,36): [128 128] (em=71, csc=[137 116])
(0,37): [128 128] (em=85, csc=[129 122])
(0,38): [128 128] (em=71, csc=[137 116])
(0,39): [128 128] (em=85, csc=[129 122])
(0,40): [128 128] (em=71, csc=[137 116])
(0,41): [128 128] (em=85, csc=[129 122])
(0,42): [128 128] (em=71, csc=[137 116])
(0,43): [128 128] (em=85, csc=[129 122])
(0,44): [128 128] (em=71, csc=[137 116])
(0,45): [128 128] (em=85, csc=[129 122])
(0,46): [128 128] (em=71, csc=[137 116])
(0,47): [128 128] (em=85, csc=[129 122])
(0,48): [128 128] (em=71, csc=[137 116])
(0,49): [128 128] (em=85, csc=[129 122])
(0,50): [128 128] (em=71, csc=[137 116])
(0,51): [128 128] (em=85, csc=[129 122])
(0,52): [128 128] (em=71, csc=[137 116])
(0,53): [128 128] (em=85, csc=[129 122])
(0,54): [128 128] (em=71, csc=[137 116])
(0,55): [128 128] (em=85, csc=[129 122])
(0,56): [128 128] (em=71, csc=[137 116])
(0,57): [128 128] (em=85, csc=[129 122])
(0,58): [128 128] (em=71, csc=[137 116])
(0,59): [128 128] (em=85, csc=[129 122])
(0,60): [128 128] (em=71, csc=[137 116])
(0,61): [128 128] (em=85, csc=[129 122])
(0,62): [128 128] (em=71, csc=[137 116])
(0,63): [128 128] (em=85, csc=[129 122])
(0,64): [128 128] (em=71, csc=[137 116])
(0,65): [128 128] (em=85, csc=[129 122])
(0,66): [128 128] (em=71, csc=[137 116])
(0,67): [128 128] (em=85, csc=[129 122])
(0,68): [128 128] (em=71, csc=[137 116])
(0,69): [128 128] (em=85, csc=[129 122])
(0,70): [128 128] (em=71, csc=[137 116])
(0,71): [128 128] (em=85, csc=[129 122])
(0,72): [128 128] (em=71, csc=[137 116])
